Listening on 127.0.0.1:9999
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=15011.949286 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=15011.949286 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=667.050644 qd-score=15678.999930 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=822.128555 qd-score=16501.128485 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16501.128485 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16501.128485 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16501.128485 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16501.128485 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16501.128485 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16501.128485 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16501.128485 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16501.128485 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16501.128485 emitter=initial-population
MAP-Elites insertion: outcome=replacement qd-delta=156.876786 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=16658.005271 emitter=initial-population
MAP-Elites insertion: outcome=new-cell qd-delta=632.332276 qd-score=17290.337547 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=17290.337547 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=17290.337547 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=17290.337547 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=17290.337547 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=17290.337547 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=17290.337547 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=17290.337547 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=17290.337547 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=17290.337547 emitter=initial-population
MAP-Elites insertion: outcome=new-global-best qd-delta=1500.910087 qd-score=18791.247634 emitter=initial-population
--> new robust best creature found through qd-large-mutate! Fitness=1500.9100868726346 domains=[1902.019531, 1408.02356, 1511.728516]
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
MAP-Elites insertion: outcome=rejected qd-delta=0.000000 qd-score=18791.247634 emitter=initial-population
