Listening on 127.0.0.1:9999
16:25:19: 3361x RT, 56.0 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=910.7). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:22: 3496x RT, 58.3 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=920.8). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:24: 3652x RT, 60.9 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=910.3). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:26: 3000x RT, 50.0 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=844.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:28: 3234x RT, 53.9 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=929.0). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:30: 2940x RT, 49.0 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=1013.2). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:32: 3449x RT, 57.5 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=941.9). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:34: 3622x RT, 60.4 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=933.9). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:36: 3007x RT, 50.1 creatures/sec. Fitness: best=1912.7, avg=1274.7, new=(qd-mutate=884.4). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:38: 3641x RT, 60.7 creatures/sec. Fitness: best=1912.7, avg=1280.0, new=(qd-mutate=946.5). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:40: 3877x RT, 64.6 creatures/sec. Fitness: best=1912.7, avg=1280.0, new=(qd-mutate=888.4). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:42: 3167x RT, 52.8 creatures/sec. Fitness: best=1912.7, avg=1280.0, new=(qd-mutate=870.7). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:44: 4261x RT, 71.0 creatures/sec. Fitness: best=1912.7, avg=1280.0, new=(qd-mutate=901.6). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:46: 3793x RT, 63.2 creatures/sec. Fitness: best=1912.7, avg=1280.1, new=(qd-mutate=913.2). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
16:25:48: 2992x RT, 49.9 creatures/sec. Fitness: best=1912.7, avg=1280.1, new=(qd-mutate=994.1). MAP-Elites(8x8, morphologies=3): occupied=28, pending=192, in flight=38
