Using 8 worker threads.
Speed: 7.097171 creatures/sec. Server status: 19:54:59: 4664x RT, 77.7 creatures/sec. Fitness: best=1123.5, avg=768.5, new=(qd-mutate=609.5). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
Speed: 6.899993 creatures/sec. Server status: 19:54:59: 4664x RT, 77.7 creatures/sec. Fitness: best=1123.5, avg=768.5, new=(qd-mutate=609.5). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
Speed: 6.899982 creatures/sec. Server status: 19:54:59: 4664x RT, 77.7 creatures/sec. Fitness: best=1123.5, avg=768.5, new=(qd-mutate=609.5). MAP-Elites(8x8, morphologies=3): occupied=24, pending=192, in flight=24
Speed: 5.499994 creatures/sec. Server status: 19:55:09: 2861x RT, 47.7 creatures/sec. Fitness: best=1123.5, avg=769.3, new=(qd-mutate=614.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 5.399952 creatures/sec. Server status: 19:55:09: 2861x RT, 47.7 creatures/sec. Fitness: best=1123.5, avg=769.3, new=(qd-mutate=614.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 5.199959 creatures/sec. Server status: 19:55:09: 2861x RT, 47.7 creatures/sec. Fitness: best=1123.5, avg=769.3, new=(qd-mutate=614.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 5.398978 creatures/sec. Server status: 19:55:09: 2861x RT, 47.7 creatures/sec. Fitness: best=1123.5, avg=769.3, new=(qd-mutate=614.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 5.298033 creatures/sec. Server status: 19:55:09: 2861x RT, 47.7 creatures/sec. Fitness: best=1123.5, avg=769.3, new=(qd-mutate=614.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 5.495312 creatures/sec. Server status: 19:55:09: 2861x RT, 47.7 creatures/sec. Fitness: best=1123.5, avg=769.3, new=(qd-mutate=614.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 5.499902 creatures/sec. Server status: 19:55:09: 2861x RT, 47.7 creatures/sec. Fitness: best=1123.5, avg=769.3, new=(qd-mutate=614.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 5.199997 creatures/sec. Server status: 19:55:09: 2861x RT, 47.7 creatures/sec. Fitness: best=1123.5, avg=769.3, new=(qd-mutate=614.8). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 5.199928 creatures/sec. Server status: 19:55:19: 2231x RT, 37.2 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=650.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 5.199431 creatures/sec. Server status: 19:55:19: 2231x RT, 37.2 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=650.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 5.299237 creatures/sec. Server status: 19:55:19: 2231x RT, 37.2 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=650.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 4.998517 creatures/sec. Server status: 19:55:19: 2231x RT, 37.2 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=650.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 5.199999 creatures/sec. Server status: 19:55:19: 2231x RT, 37.2 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=650.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 5.098686 creatures/sec. Server status: 19:55:19: 2231x RT, 37.2 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=650.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 4.999645 creatures/sec. Server status: 19:55:19: 2231x RT, 37.2 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=650.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 4.995955 creatures/sec. Server status: 19:55:19: 2231x RT, 37.2 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=650.4). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 3.999940 creatures/sec. Server status: 19:55:28: 1972x RT, 32.9 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=586.5). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
Speed: 3.589160 creatures/sec. Server status: 19:55:30: 1173x RT, 19.5 creatures/sec. Fitness: best=1284.2, avg=785.8, new=(qd-mutate=609.6). MAP-Elites(8x8, morphologies=3): occupied=25, pending=192, in flight=24
